,filenames,ids
0,BFM_AMT_0001,A117DOZTFVXW2N-3WMOAN2SRD391D1D8K3QXDPYOXNNVT
1,BFM_AMT_0002,A12EVSLHWAMQ6O-3QECW5O0KJ7QYWRIZP7P2E1R2OK5TE
2,BFM_AMT_0003,A1378TVZLWPT2Z-31QNSG6A5TZMNGDDKKBR92J0FFJ87S
3,BFM_AMT_0004,A14MM5TU6C4Q9-3ERMJ6L4D0Y185FHELLAEKKV0DGM7P
4,BFM_AMT_0005,A17E3BSIFFL26B-3X65QVEQI2TNE4SS5QS6UTXK00TCLF
5,BFM_AMT_0006,A17UO115FDB6UR-32UTUBMZ7I2704CG5UYH6IP47GIVB1
6,BFM_AMT_0007,A1A50DEUE8JXIR-34FNN24DCOFMFIQC9VUOAVT6IEQ5Y4
7,BFM_AMT_0008,A1A9HMKABODJKJ-37Z929RLGBER4YPTBLKXVPBJFFPTSE
8,BFM_AMT_0009,A1F46RJTOXQM4J-3VJ40NV2QKTC66X0443OBK1IIXDTOM
9,BFM_AMT_0010,A1FBX0YF8W9SVL-3K5TEWLKGXHHNCQMB4QYS5TH31QVIP
10,BFM_AMT_0011,A1G364B3QV9OLT-3RU7GD8VPQZTC6WMU4BDQFAMSTJSPN
11,BFM_AMT_0012,A1G4ES5Y166X1-3NOKK93PR3EO5W2EKVBX7M73C90EE6
12,BFM_AMT_0013,A1J5OOJPXYUBFP-3A7Y0R2P2QU5MCFNT1CGSR52WXJXJE
13,BFM_AMT_0014,A1K0S514CEY1UG-3PXX5PX6LZ4N8G9IUZ7LAVBRL83BA5
14,BFM_AMT_0015,A1LA0WFA40WZA-3KIBXJ1WD70D3N7DAVPWATEMZC4KO9
15,BFM_AMT_0016,A1LB9JOMFQ1UMG-3SITXWYCNXFZ4THB59ZZU3MPNI9XB7
16,BFM_AMT_0017,A1M0JDU08KRH7X-31HQ4X3T3UG3LLHO2CI69Y12L2CSLJ
17,BFM_AMT_0018,A1MRBBA2OLM223-3KKG4CDWKK4PIYE4NEJY6MU19AB94H
18,BFM_AMT_0019,A1N8TKTLXV92QR-3300DTYQT4ND2ZSJTM6X13WHTDCEQ6
19,BFM_AMT_0020,A1NVBVIN3OY4EY-3TY7ZAOG5HQS06FU8ANLKSI42EQK0W
20,BFM_AMT_0021,A1O44U2LIC8ZUT-35GMH2SV3GNAHNF3E9ETCY1HEJDEOV
21,BFM_AMT_0022,A1PRJV4523QZ14-3IX2EGZR7DPLPGTBK26O39JEVEMRJW
22,BFM_AMT_0023,A1REBBLJU3AZV0-33TIN5LC06G5G5SOCL75MBY83OY9YF
23,BFM_AMT_0024,A1RJ9DTYD0KD0C-3TS1AR6UQSKV2VN0SYHXJU0M1S17FU
24,BFM_AMT_0025,A1V3FV89RVGASD-3YDGXNSEO10P4TVUIMDK6QZQL92482
25,BFM_AMT_0026,A1VE6XGZ47GGS-3Z4XG4ZF4AXG2VJ42XFP31WOIY38X9
26,BFM_AMT_0027,A1XIADQR1BY59W-3R5F3LQFV4Q8SI6ZAWS6X82Z2PPZOP
27,BFM_AMT_0028,A1YI2IF46O4Z9Z-3JNQLM5FT6SAGM0Q8X30IGOYPQVL2T
28,BFM_AMT_0029,A1YILFU07P6DND-3IXEICO794PMH0RW48HUUKFRYERT64
29,BFM_AMT_0030,A1ZGCI9IPO9UE9-3TXMY6UCAGUY5185XV02BFWEBRICQD
30,BFM_AMT_0031,A208PXUFJNMU6M-3JZQSN0I3SGEVOY1L1LRP7DF1YWFGO
31,BFM_AMT_0032,A209H73TTW9F87-317HQ483I9Y4F7HD9D47IOZ4JS7IN4
32,BFM_AMT_0033,A20AZHMLAM1MHV-37KGEN7NJ5WWZEGU2N7JVA5B58PPPF
33,BFM_AMT_0034,A212P51360T72C-3TPWUS5F8B73PY4R94Z834E0X5KCWQ
34,BFM_AMT_0035,A25NI7DEN0IDCI-33LKR6A5KGQRAEQZY25DZOOARW7T1P
35,BFM_AMT_0036,A2618CTGSM6RBN-3NPFYT4IZEAVVAPMLVRDVEDM5TJXG4
36,BFM_AMT_0037,A26QHFTPCBGRFM-3HMVI3QICLYNR0PT88SC75GP4MK1YR
37,BFM_AMT_0038,A27QUVSOUJZD8J-3EF8EXOTT31XWBUUM8R9XI11S3KJ1V
38,BFM_AMT_0039,A29JOJSKSE11Y9-32Q90QCQ1URRRWUOGHM05HK8UGQKE8
39,BFM_AMT_0040,A2A028LRDJB7ZB-3I33IC7ZWH8TK39MB6EA928NT162AA
40,BFM_AMT_0041,A2A1YB1L8T1ENB-3ND9UOO81M8WS2YXMHS76N4NQOCWLN
41,BFM_AMT_0042,A2A2GYHMLH0GF1-384PI804XU7QOPS2DJWNBE9EH9Y0SO
42,BFM_AMT_0043,A2EX0NXAO1DNN2-3W2LOLRXLDLG00ZT2N604OJRA54RKH
43,BFM_AMT_0044,A2F2HQG4V4W9A-3GGAI1SQEX47KMAD52TLU6C903KCME
44,BFM_AMT_0045,A2ID4B3JMUWAP7-34J10VATJH4PI4U5P5WOMIU9KWKQI7
45,BFM_AMT_0046,A2IHW2L1D0SLCN-3ND9UOO81M8WS2YXMHS76N4NQLAWLF
